TEAM,win%,Team,off_eff,Team,def_eff,net_eff,Team,ts%,Team,opp_ts%,net_ts%,Team,eff_fg%,Team,opp_eff_fg%,net_eff_fg%,Team,3_pt%,Team,3_rate,Team,pace,Team,rebr,Team,off_rebr,Team,def_rebr,Team,to_rate,Team,2_pt%
Atlanta,0.222,Atlanta,1.008,Atlanta,1.099,-0.09100,Atlanta,1.08200,Atlanta,1.15600,-0.07400,Atlanta,0.51000,Atlanta,0.54300,-0.03300,Atlanta,0.31700,Atlanta,0.38100,Atlanta,107.20000,Atlanta,0.48700,Atlanta,0.22400,Atlanta,0.73700,Atlanta,17.5,Atlanta,0.531
Boston,0.708,Boston,1.078,Boston,1.013,0.06500,Boston,1.11100,Boston,1.06600,0.04500,Boston,0.52200,Boston,0.50300,0.01900,Boston,0.35800,Boston,0.38700,Boston,102.80000,Boston,0.48700,Boston,0.22700,Boston,0.76100,Boston,13.2,Boston,0.513
Brooklyn,0.538,Brooklyn,1.048,Brooklyn,1.048,0.00000,Brooklyn,1.09600,Brooklyn,1.07600,0.02000,Brooklyn,0.51900,Brooklyn,0.50400,0.01500,Brooklyn,0.34300,Brooklyn,0.40800,Brooklyn,106.80000,Brooklyn,0.51700,Brooklyn,0.24700,Brooklyn,0.77100,Brooklyn,15.9,Brooklyn,0.522
Charlotte,0.414,Charlotte,1.030,Charlotte,1.095,-0.06500,Charlotte,1.07900,Charlotte,1.14100,-0.06200,Charlotte,0.51000,Charlotte,0.54700,-0.03700,Charlotte,0.35900,Charlotte,0.40900,Charlotte,101.50000,Charlotte,0.49100,Charlotte,0.23700,Charlotte,0.75000,Charlotte,15.4,Charlotte,0.49
Chicago,0.345,Chicago,1.008,Chicago,1.026,-0.01800,Chicago,1.06100,Chicago,1.11100,-0.05000,Chicago,0.49900,Chicago,0.51800,-0.01900,Chicago,0.34600,Chicago,0.39500,Chicago,104.70000,Chicago,0.47600,Chicago,0.21500,Chicago,0.75400,Chicago,15.6,Chicago,0.485
Cleveland,0.222,Cleveland,1.017,Cleveland,1.119,-0.10200,Cleveland,1.06000,Cleveland,1.17500,-0.11500,Cleveland,0.50100,Cleveland,0.56600,-0.06500,Cleveland,0.33800,Cleveland,0.37000,Cleveland,102.00000,Cleveland,0.50200,Cleveland,0.23300,Cleveland,0.78100,Cleveland,15.6,Cleveland,0.497
Dallas,0.692,Dallas,1.139,Dallas,1.053,0.08600,Dallas,1.16000,Dallas,1.07300,0.08700,Dallas,0.54900,Dallas,0.50800,0.04100,Dallas,0.36400,Dallas,0.45300,Dallas,103.70000,Dallas,0.51600,Dallas,0.23700,Dallas,0.77800,Dallas,12.8,Dallas,0.552
Denver,0.680,Denver,1.046,Denver,0.999,0.04700,Denver,1.07100,Denver,1.05400,0.01700,Denver,0.51000,Denver,0.49600,0.01400,Denver,0.35400,Denver,0.33700,Denver,101.80000,Denver,0.50600,Denver,0.24000,Denver,0.78700,Denver,13.7,Denver,0.5
Detroit,0.407,Detroit,1.068,Detroit,1.071,-0.00300,Detroit,1.13800,Detroit,1.11900,0.01900,Detroit,0.54200,Detroit,0.53200,0.01000,Detroit,0.38500,Detroit,0.38100,Detroit,102.40000,Detroit,0.51000,Detroit,0.23100,Detroit,0.77900,Detroit,16,Detroit,0.52
Golden State,0.179,Golden State,1.004,Golden State,1.095,-0.09100,Golden State,1.04900,Golden State,1.16300,-0.11400,Golden State,0.48300,Golden State,0.55600,-0.07300,Golden State,0.32300,Golden State,0.32100,Golden State,103.90000,Golden State,0.48900,Golden State,0.22700,Golden State,0.76200,Golden State,14.8,Golden State,0.482
Houston,0.667,Houston,1.106,Houston,1.056,0.05000,Houston,1.14500,Houston,1.10800,0.03700,Houston,0.53500,Houston,0.52600,0.00900,Houston,0.34500,Houston,0.50000,Houston,108.20000,Houston,0.50400,Houston,0.24500,Houston,0.77000,Houston,15.3,Houston,0.553
Indiana,0.667,Indiana,1.057,Indiana,1.008,0.04900,Indiana,1.10600,Indiana,1.05800,0.04800,Indiana,0.52300,Indiana,0.49600,0.02700,Indiana,0.36100,Indiana,0.29900,Indiana,103.40000,Indiana,0.49800,Indiana,0.21400,Indiana,0.78200,Indiana,13.7,Indiana,0.515
